Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:11, ueb:6,
Net:1.89839399087, Trade:5.7537961265, Cost:3.85540213563, Trades/Day:49.5210084034, et:2, leb:2, bs:12, ueb:6,
Net:0.224630691203, Trade:5.55837577942, Cost:5.33374508821, Trades/Day:105.025210084, et:-2, leb:2, bs:9, ueb:7,
Net:0.308114964047, Trade:5.53820953079, Cost:5.23009456675, Trades/Day:101.042016807, et:-2, leb:2, bs:10, ueb:7,
Net:0.457989687725, Trade:5.59011772496, Cost:5.13212803724, Trades/Day:97.4117647059, et:-2, leb:2, bs:11, ueb:7,
Net:0.586102339296, Trade:5.63064194045, Cost:5.04453960115, Trades/Day:94.1512605042, et:-2, leb:2, bs:12, ueb:7,
Net:0.0442989409535, Trade:5.65829674169, Cost:5.61399780074, Trades/Day:115.226890756, et:-1, leb:2, bs:5, ueb:7,
Net:0.317509037912, Trade:5.71346182426, Cost:5.39595278635, Trades/Day:106.882352941, et:-1, leb:2, bs:6, ueb:7,
Net:0.604866094669, Trade:5.80706473347, Cost:5.2021986388, Trades/Day:100.0, et:-1, leb:2, bs:7, ueb:7,
Net:0.787690987358, Trade:5.83575797606, Cost:5.04806698871, Trades/Day:94.0672268908, et:-1, leb:2, bs:8, ueb:7,
Net:0.951553342413, Trade:5.86477395702, Cost:4.91322061461, Trades/Day:89.1680672269, et:-1, leb:2, bs:9, ueb:7,
Net:1.03527786781, Trade:5.83972261231, Cost:4.80444474451, Trades/Day:85.0420168067, et:-1, leb:2, bs:10, ueb:7,
Net:1.17878958706, Trade:5.89053378853, Cost:4.71174420147, Trades/Day:81.4117647059, et:-1, leb:2, bs:11, ueb:7,
Net:1.25219570104, Trade:5.89237137647, Cost:4.64017567544, Trades/Day:78.5462184874, et:-1, leb:2, bs:12, ueb:7,
Net:0.653309512815, Trade:6.20480532706, Cost:5.55149581424, Trades/Day:113.823529412, et:0, leb:2, bs:2, ueb:7,
Net:1.61781605181, Trade:6.31524586558, Cost:4.69742981377, Trades/Day:81.9159663866, et:0, leb:2, bs:3, ueb:7,
Net:1.89628034189, Trade:6.11572898797, Cost:4.21944864608, Trades/Day:63.1512605042, et:0, leb:2, bs:4, ueb:7,
Net:1.93225867552, Trade:5.92603036806, Cost:3.99377169254, Trades/Day:54.5882352941, et:0, leb:2, bs:5, ueb:7,
Net:1.93431282163, Trade:5.84892456757, Cost:3.91461174594, Trades/Day:51.3613445378, et:0, leb:2, bs:6, ueb:7,
Net:1.91162311227, Trade:5.80955218722, Cost:3.89792907495, Trades/Day:50.5210084034, et:0, leb:2, bs:7, ueb:7,
Net:1.91531258215, Trade:5.79957317057, Cost:3.88426058842, Trades/Day:50.025210084, et:0, leb:2, bs:8, ueb:7,
Net:1.90988426912, Trade:5.79179985462, Cost:3.8819155855, Trades/Day:49.8823529412, et:0, leb:2, bs:9, ueb:7,
Net:1.91278018485, Trade:5.7941385095, Cost:3.88135832465, Trades/Day:49.8571428571, et:0, leb:2, bs:10, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:0, leb:2, bs:11, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:0, leb:2, bs:12, ueb:7,
Net:1.91605643966, Trade:6.22617544499, Cost:4.31011900533, Trades/Day:66.5714285714, et:1, leb:2, bs:2, ueb:7,
Net:1.90073839237, Trade:5.83124815678, Cost:3.93050976441, Trades/Day:51.7731092437, et:1, leb:2, bs:3, ueb:7,
Net:1.90569215058, Trade:5.79461940064, Cost:3.88892725006, Trades/Day:50.0756302521, et:1, leb:2, bs:4, ueb:7,
Net:1.91124307538, Trade:5.7934164791, Cost:3.88217340372, Trades/Day:49.8739495798, et:1, leb:2, bs:5, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:1, leb:2, bs:6, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:1, leb:2, bs:7, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:1, leb:2, bs:8, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:1, leb:2, bs:9, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:1, leb:2, bs:10, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:1, leb:2, bs:11, ueb:7,
Net:1.91172936337, Trade:5.79308768787, Cost:3.8813583245, Trades/Day:49.8487394958, et:1, leb:2, bs:12, ueb:7,
